Country code,State,Postcode,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,NY,10919,,8.13,NY10919,1,0,1,
US,NY,10920,,8.38,NY10920,1,0,1,
US,NY,10921,,8.13,NY10921,1,0,1,
US,NY,10922,,8.13,NY10922,1,0,1,
US,NY,10923,,8.38,NY10923,1,0,1,
US,NY,10924,,8.13,NY10924,1,0,1,
US,NY,10925,,8.13,NY10925,1,0,1,
US,NY,10926,,8.13,NY10926,1,0,1,
US,NY,10927,,8.38,NY10927,1,0,1,
US,NY,10928,,8.13,NY10928,1,0,1,
US,NY,10930,,8.13,NY10930,1,0,1,
US,NY,10931,,8.38,NY10931,1,0,1,
US,NY,10932,,8.13,NY10932,1,0,1,
US,NY,10933,,8.13,NY10933,1,0,1,
US,NY,10940,,8.13,NY10940,1,0,1,
US,NY,10941,,8.13,NY10941,1,0,1,
US,NY,10949,,8.13,NY10949,1,0,1,
US,NY,10950,,8.13,NY10950,1,0,1,
US,NY,10952,,8.38,NY10952,1,0,1,
US,NY,10953,,8.13,NY10953,1,0,1,
US,NY,10954,,8.38,NY10954,1,0,1,
US,NY,10956,,8.38,NY10956,1,0,1,
US,NY,10958,,8.13,NY10958,1,0,1,
US,NY,10959,,8.13,NY10959,1,0,1,
US,NY,10960,,8.38,NY10960,1,0,1,
US,NY,10962,,8.38,NY10962,1,0,1,
US,NY,10963,,8.13,NY10963,1,0,1,
US,NY,10964,,8.38,NY10964,1,0,1,
US,NY,10965,,8.38,NY10965,1,0,1,
US,NY,10968,,8.38,NY10968,1,0,1,
US,NY,10969,,8.13,NY10969,1,0,1,
US,NY,10970,,8.38,NY10970,1,0,1,
US,NY,10973,,8.13,NY10973,1,0,1,
US,NY,10974,,8.38,NY10974,1,0,1,
US,NY,10975,,8.13,NY10975,1,0,1,
US,NY,10976,,8.38,NY10976,1,0,1,
US,NY,10977,,8.38,NY10977,1,0,1,
US,NY,10979,,8.13,NY10979,1,0,1,
US,NY,10980,,8.38,NY10980,1,0,1,
US,NY,10981,,8.13,NY10981,1,0,1,
US,NY,10982,,8.38,NY10982,1,0,1,
US,NY,10983,,8.38,NY10983,1,0,1,
US,NY,10984,,8.38,NY10984,1,0,1,
US,NY,10985,,8.13,NY10985,1,0,1,
US,NY,10986,,8.38,NY10986,1,0,1,
US,NY,10987,,8.38,NY10987,1,0,1,
US,NY,10988,,8.13,NY10988,1,0,1,
US,NY,10989,,8.38,NY10989,1,0,1,
US,NY,10990,,8.13,NY10990,1,0,1,
US,NY,10992,,8.13,NY10992,1,0,1,
US,NY,10993,,8.38,NY10993,1,0,1,
US,NY,10994,,8.38,NY10994,1,0,1,
US,NY,10996,,8.13,NY10996,1,0,1,
US,NY,10997,,8.13,NY10997,1,0,1,
US,NY,10998,,8.13,NY10998,1,0,1,
US,NY,11001,,8.88,NY11001,1,0,1,
US,NY,11002,,8.63,NY11002,1,0,1,
US,NY,11003,,8.88,NY11003,1,0,1,
US,NY,11004,,8.88,NY11004,1,0,1,
US,NY,11005,,8.88,NY11005,1,0,1,
US,NY,11010,,8.63,NY11010,1,0,1,
US,NY,11020,,8.88,NY11020,1,0,1,
US,NY,11021,,8.88,NY11021,1,0,1,
US,NY,11022,,8.63,NY11022,1,0,1,
US,NY,11023,,8.63,NY11023,1,0,1,
US,NY,11024,,8.63,NY11024,1,0,1,
US,NY,11026,,8.63,NY11026,1,0,1,
US,NY,11027,,8.63,NY11027,1,0,1,
US,NY,11030,,8.63,NY11030,1,0,1,
US,NY,11040,,8.88,NY11040,1,0,1,
US,NY,11042,,8.63,NY11042,1,0,1,
US,NY,11050,,8.63,NY11050,1,0,1,
US,NY,11051,,8.63,NY11051,1,0,1,
US,NY,11052,,8.63,NY11052,1,0,1,
US,NY,11053,,8.63,NY11053,1,0,1,
US,NY,11054,,8.63,NY11054,1,0,1,
US,NY,11055,,8.63,NY11055,1,0,1,
US,NY,11096,,8.88,NY11096,1,0,1,
US,NY,11101,,8.88,NY11101,1,0,1,
US,NY,11102,,8.88,NY11102,1,0,1,
US,NY,11103,,8.88,NY11103,1,0,1,
US,NY,11104,,8.88,NY11104,1,0,1,
US,NY,11105,,8.88,NY11105,1,0,1,
US,NY,11106,,8.88,NY11106,1,0,1,
US,NY,11109,,8.88,NY11109,1,0,1,
US,NY,11120,,8.88,NY11120,1,0,1,
US,NY,11201,,8.88,NY11201,1,0,1,
US,NY,11202,,8.88,NY11202,1,0,1,
US,NY,11203,,8.88,NY11203,1,0,1,
US,NY,11204,,8.88,NY11204,1,0,1,
US,NY,11205,,8.88,NY11205,1,0,1,
US,NY,11206,,8.88,NY11206,1,0,1,
US,NY,11207,,8.88,NY11207,1,0,1,
US,NY,11208,,8.88,NY11208,1,0,1,
US,NY,11209,,8.88,NY11209,1,0,1,
